Отметка времени,"Вопрос, который вы бы хотели задать",Ответ на заданный вами вопрос
03.05.2024 23:14:47,Чем занимается направление DIY,DIY разрабатывает различные устройства с использованием современных станков ЧПУ.
03.05.2024 23:20:17,Какие ПО используют в направлении DIY,"Основные программы для разработки мы используем: Компас 3D, Corel Draw, Cura и k40. Переодически мы используем: Arduino IDE, ArtCAM, Visual Studio Community."
04.05.2024 12:46:05,Чему вы учите на направлении 3д-моделирование?,Мы учим создавать трехмерные модели предметов для игр и не только
04.05.2024 12:46:09,Как попасть в Октопус?,Надо дождаться объявления набора на официальных ресурсах октопуса
04.05.2024 12:47:47,В каких программах вы работаете на направлении 3д-моделирование?,Мы работаем а программах Blender и Substance 3D Painter
04.05.2024 12:54:30,Какие направления есть в Октопусе?,"Python, Unity, 2D, 3D, Коммерческий дизайн, Видеография, Дроны, DIY, WEB"
04.05.2024 12:55:57,Сколько стоит обучение в Октопусе?,Обучение бесплатно
04.05.2024 12:56:54,Где можно посмотреть новости Октопуса?,На официальных ресурсах *выводи QR на группы*
04.05.2024 13:00:14,Что такое Октопус?,"Октопус это секция дополнительного образования, где вы можете научиться монтировать, создавать дизайны, программировать и много чего ещё "
04.05.2024 13:02:03,Мне выдадут худи?,Худи выдадут в случае успешного завершения в образовательном центре Октопуса
04.05.2024 13:04:08,Как получить худи?,Нужно успешно закончить обучение в образовательном центре Октопуса
04.05.2024 13:50:33,На каком движке вы учите делать игры?,Мы делаем игры на Unity!
05.05.2024 14:50:46,Как научиться управлять квадрокоптеом?,Учиться надо начинать с симулятора
05.05.2024 14:51:55,Как далеко может улететь квадрокоптер,Зависит от батарейки
05.05.2024 14:54:09,На какую высоту может подняться квадрокоптер,До 7 километров
05.05.2024 15:01:46,Какой квадрокоптер выбрать для начала?,"Крепкий, маленький и с защитой пропеллеров."
05.05.2024 15:04:21,Опасен ли квадрокоптер?,"Достаточно опасен, но если соблюдать простые правила то нет."
11.05.2024 12:40:57,Сколько стоят курсы?,"Вопросы, касающиеся стоимости обучения можно уточнить у администратора"
